cancer;cnv;mirna;mutation;rna;clin;p;N;neff;reff
BLCA;57964;825;18650;23081;5;100525;382;103;0.27
BRCA;57964;835;18847;22694;8;100348;735;72;0.1
COAD;57964;802;19786;22210;7;100769;191;17;0.09
ESCA;57964;763;15162;25494;6;99389;106;37;0.35
HNSC;57964;793;17840;21520;11;98128;443;152;0.34
KIRC;57964;725;12017;22972;9;93687;249;62;0.25
KIRP;57964;593;11610;32525;6;102698;167;20;0.12
LAML;57964;882;6575;29132;7;94560;35;14;0.4
LGG;57964;645;13389;22297;10;94305;149;77;0.18
LIHC;57964;776;15924;20994;11;95669;159;35;0.22
LUAD;57964;799;18966;23681;9;101419;426;101;0.24
LUSC;57964;895;18832;23524;9;101224;418;132;0.32
OV;57447;975;16837;24508;6;99773;219;109;0.5
PAAD;57964;612;12882;22348;10;93816;124;52;0.42
SARC;57964;778;12478;22842;11;94073;126;38;0.3
SKCM;57964;1002;19488;22248;9;100711;249;87;0.35
STAD;57967;787;19141;26027;7;103929;295;62;0.21
UCEC;57447;866;21226;23978;11;103528;405;38;0.09
